macd,macd_sig,macd_hist,cci,wr_14,boll_up,boll_low,kdj_k,kdj_d,kdj_j,ema20,close_delta,open_close_diff,rsi_14,close,date,news_sent_mean_1d,news_sent_std_1d,news_sent_maxabs_1d,news_count_1d,tech_sent_score
0.32504225,-0.0007963016,1.06496,1.041028,0.9792702,-0.81603926,-0.98525333,0.46668303,0.5675678,0.2618586,-0.87584895,3.0449476,0.028795281,0.7634661,66.67765,2020-04-29,0.47285714285714286,0.3593995926916039,0.85,35.0,0.25
0.48285267,0.10139581,1.268469,0.9549254,1.1202118,-0.8025833,-0.96079564,0.8104993,0.6862972,0.7952961,-0.86051965,0.16981,-0.84116596,0.79672885,67.03454,2020-04-30,0.08,0.39944405810520645,0.7,10.0,0.65
0.5319515,0.19365145,1.1469836,0.76381594,0.45587465,-0.8006349,-0.93064386,0.7637192,0.7476786,0.63453394,-0.85077935,-0.83676666,0.31841734,0.45497042,65.64033,2020-05-01,0.2375,0.5956688917271311,0.85,8.0,0.65
0.5754919,0.27676898,1.0352594,0.6316525,0.59525067,-0.81305254,-0.87993747,0.73596114,0.77805454,0.54601884,-0.8410556,0.14150989,-0.6504049,0.14661664,65.94798,2020-05-04,0.31071428571428567,0.39524995568946936,0.9,14.0,0.65
0.65661144,0.36061394,1.0441535,1.0980978,0.8721994,-0.7994937,-0.86834216,0.86332995,0.84669226,0.7155956,-0.8286792,0.6592399,-0.45341462,0.3924365,67.15631,2020-05-05,0.5166666666666667,0.18348478592697182,0.8,6.0,0.65
0.70040417,0.43705693,0.953655,0.9328327,0.79369736,-0.79148835,-0.85117227,0.9084974,0.90960956,0.7318567,-0.81804246,-0.14419262,0.556416,0.34500194,66.96694,2020-05-06,0.037500000000000006,0.526952152883515,0.75,8.0,0.4
0.78252196,0.51577586,0.9814804,0.92645544,1.2410237,-0.7748581,-0.84327257,1.165265,1.0490998,1.0724376,-0.80470026,0.6863778,-0.2128628,0.3812103,68.22248,2020-05-07,0.43499999999999994,0.2708525634198634,0.8,10.0,0.65
0.87160283,0.59780484,1.0219501,0.98456675,1.1566303,-0.7568937,-0.8344772,1.2954596,1.1915543,1.1635569,-0.79030156,0.41637567,-0.16233438,0.6601404,69.00831,2020-05-08,-0.06666666666666665,0.408248290463863,0.7,6.0,0.65
0.9629697,0.6829707,1.0603039,0.9590026,1.098998,-0.7374302,-0.825915,1.3075448,1.2911149,1.0738233,-0.77508223,0.39008853,-0.8851073,1.3821226,69.748405,2020-05-11,0.38125,0.4157072287078973,0.8,8.0,0.3
0.9557811,0.74956596,0.833254,0.68239105,0.5937878,-0.7249149,-0.8224949,0.9693743,1.2290184,0.48695368,-0.76536334,-0.82162327,1.1784952,0.7444088,68.38054,2020-05-12,0.325,0.5458174297937606,0.8,10.0,0.65
0.87405825,0.7853621,0.4566984,0.18247956,0.10895641,-0.72005725,-0.81380737,0.41166577,0.97574866,-0.3093338,-0.76045793,-0.7899068,1.0444868,0.32064196,67.06785,2020-05-13,0.2866666666666667,0.46539793520732137,0.8,15.0,0.3
0.8126334,0.8008605,0.20853549,0.025624748,0.23379007,-0.7150495,-0.8043479,0.12541045,0.698154,-0.550181,-0.75501853,0.15894693,-0.74341106,0.34886473,67.40584,2020-05-14,0.014285714285714275,0.4099941927579439,0.7,7.0,0.3
0.79183567,0.80881083,0.11624963,0.20560485,0.5469748,-0.7065952,-0.7991287,0.0025543342,0.46641845,-0.5254922,-0.74758595,0.45208737,-0.8195668,0.50769407,68.25379,2020-05-15,0.13214285714285715,0.46888047634647906,0.75,14.0,0.3
0.78833044,0.8144214,0.087642714,0.36039284,0.4042808,-0.69831395,-0.78929,0.092270434,0.34601086,-0.21412086,-0.7392787,0.27180526,-0.7829499,1.1249312,68.78812,2020-05-18,-0.35,0.264575131106459,0.6,4.0,0.2
0.74876076,0.81044614,-0.029555388,0.37215713,0.10326112,-0.7050868,-0.7564129,-0.014829183,0.2250523,-0.2847843,-0.73330164,-0.33405283,0.5242686,0.07940163,68.268456,2020-05-19,0.2357142857142857,0.5022568115634717,0.8,7.0,-0.2
0.78368855,0.81473655,0.071505174,0.695193,1.0601575,-0.6972215,-0.74188286,0.44435415,0.318856,0.5013054,-0.72300166,0.9142303,-0.59804964,0.36683872,69.92038,2020-05-20,0.10416666666666667,0.6386983686065012,0.85,12.0,0.7
0.7895852,0.8194304,0.07643413,0.67719287,0.9472945,-0.69125676,-0.72800857,0.68789566,0.47391284,0.7984679,-0.7142595,-0.14733708,0.21992493,0.7900032,69.72554,2020-05-21,0.40555555555555556,0.3745367509040705,0.8,9.0,0.5
0.7996908,0.8253468,0.09138413,0.64716053,1.1193733,-0.6856809,-0.7129585,0.98759085,0.6911375,1.1341037,-0.7052283,0.18237466,-0.47246045,0.8028932,70.10429,2020-05-22,0.3,0.37859388972001823,0.7,7.0,0.65
0.81059057,0.8324114,0.105420835,0.91949517,0.649577,-0.6825265,-0.69361675,0.9664205,0.8279112,0.93739015,-0.6960857,0.15323253,0.77097726,0.63091564,70.432335,2020-05-26,0.5388888888888889,0.2446653042650533,0.8,9.0,0.65
0.8084544,0.83760625,0.08255996,0.59421057,0.67327875,-0.703134,-0.6411143,0.9626638,0.9176667,0.82800704,-0.687693,-0.011906211,0.007928013,0.71756136,70.4731,2020-05-27,0.29000000000000004,0.4273952113286562,0.85,10.0,0.6
0.79160964,0.838159,0.025806623,0.67034113,0.6411974,-0.6961257,-0.6366756,0.90079904,0.9540015,0.66640246,-0.68026304,-0.06705479,-0.69800574,0.39789996,70.41792,2020-05-28,0.228125,0.5163876935016946,0.8,16.0,0.65
0.7945761,0.83923584,0.03221244,0.7288908,0.99349403,-0.68639326,-0.63443106,1.0054853,1.0179945,0.7971602,-0.67174625,0.3129507,-0.4091157,0.3485482,71.02383,2020-05-29,-0.003846153846153841,0.6581101536665229,0.8,13.0,0.65
0.79127735,0.8393917,0.02095298,0.7386421,1.0773085,-0.68247837,-0.620767,1.0801303,1.0890144,0.86151946,-0.6636138,0.047522683,-0.46220848,0.16984154,71.16798,2020-06-01,0.23636363636363636,0.3042128441493793,0.7,11.0,0.65
0.79364395,0.84002244,0.026760735,0.74542814,1.2911655,-0.67801523,-0.6075117,1.2819744,1.2130407,1.1129014,-0.6551663,0.17608574,-0.28792349,1.0093627,71.53578,2020-06-02,0.35454545454545455,0.5680909018170179,0.85,11.0,0.05
0.7764451,0.83684856,-0.01975873,0.7642407,1.0619434,-0.67207325,-0.60027725,1.1933327,1.2620504,0.8848201,-0.6479416,-0.116480194,0.09982781,1.888368,71.39462,2020-06-03,0.4,0.5378528742004771,0.8,8.0,-0.2
0.69409716,0.81669563,-0.22734627,0.22730756,0.26115304,-0.6739466,-0.58772105,0.48671564,1.0262811,-0.22088823,-0.64496744,-0.7267721,0.6966428,0.90036595,70.191765,2020-06-04,0.2571428571428572,0.34086724129853874,0.8,7.0,-0.2
0.6796831,0.7974901,-0.21576177,0.47222346,1.0433726,-0.66760427,-0.5840713,0.7169381,0.9565626,0.30601537,-0.63841814,0.7135201,-0.89389545,1.0187004,71.49452,2020-06-05,0.11666666666666664,0.6911343333004566,0.8,6.0,-0.3
0.6765335,0.78145206,-0.17703635,0.62890935,1.2799292,-0.6591729,-0.5839522,1.0528245,1.0376859,0.8668048,-0.6312824,0.19952224,-0.8591112,0.98744845,71.9031,2020-06-08,0.27999999999999997,0.5403702434442518,0.8,5.0,-0.2
0.6853593,0.7705094,-0.11473927,0.9043417,0.8464363,-0.64914364,-0.58645904,1.0695814,1.0981342,0.8306371,-0.62342066,0.23751885,-0.36591178,1.4351337,72.37778,2020-06-09,0.16249999999999998,0.434042460069124,0.7,8.0,-0.3
0.70379496,0.76569855,-0.03977055,0.98203814,0.99964476,-0.6381704,-0.5839899,1.145079,1.1671145,0.8989727,-0.6148811,0.24152288,-0.20151569,1.1661389,72.85942,2020-06-10,0.25,0.408656334834051,0.6,6.0,-0.2
0.56165934,0.73144794,-0.39970702,-0.16379839,-1.5294646,-0.64465237,-0.56802845,-0.06674977,0.75273025,-0.9858601,-0.61628324,-1.8070614,1.4443167,-0.36169723,69.77723,2020-06-11,0.4333333333333333,0.3785938897200182,0.7,3.0,-0.2
0.4624103,0.6828188,-0.5755031,-0.5018756,-0.9997482,-0.65117997,-0.5516058,-0.45716423,0.3281563,-1.2620599,-0.6161767,0.23151939,0.5900997,-0.33158436,70.24147,2020-06-12,0.125,0.5196152422706631,0.85,8.0,-0.3
0.39164123,0.62877834,-0.64166176,-0.66928196,-0.7439526,-0.65483016,-0.5400367,-0.60566777,-0.011309064,-1.1647154,-0.61509866,0.15523674,-1.0341281,-0.33036816,70.573006,2020-06-15,0.19999999999999998,0.43588989435406733,0.7,3.0,-0.3
0.3819248,0.58346766,-0.53492934,0.421071,0.13309893,-0.6543247,-0.53109,-0.3214327,-0.12963901,-0.4775112,-0.6107565,0.6180901,0.12106381,0.0106772445,71.70975,2020-06-16,0.41875,0.4439574464807571,0.8,8.0,-0.3
0.38627025,0.54814863,-0.4127702,0.5919485,0.45523483,-0.6568447,-0.5157587,0.00881808,-0.08306395,0.111613385,-0.6055916,0.20466214,-0.11546544,0.14154401,72.127266,2020-06-17,0.22857142857142856,0.4644505202002531,0.8,7.0,-0.35
0.34641597,0.5113688,-0.43062988,0.12490774,-0.12614621,-0.6565057,-0.5114046,-0.025055489,-0.064882666,0.025076365,-0.60315,-0.4684838,0.5128433,-0.27485302,71.37374,2020-06-18,-1.586032892321652e-17,0.5322906474223771,0.7,7.0,0.25
0.29795688,0.47157982,-0.46742016,-0.13327159,-0.28874165,-0.6576853,-0.5054279,-0.11868575,-0.08833162,-0.130297,-0.6015652,-0.15647662,0.47915402,-0.38166973,71.163,2020-06-19,0.025000000000000022,0.613052471924984,0.8,4.0,0.2
0.30039522,0.44027022,-0.36375007,0.24646948,0.48361924,-0.6549121,-0.50178564,0.15638566,0.0005347891,0.3034463,-0.5971666,0.54009265,-0.80748785,-0.202664,72.164055,2020-06-22,-0.175,0.6020797289396147,0.7,4.0,0.15
0.32490954,0.42046595,-0.223083,1.0325032,0.9086679,-0.64859897,-0.50108504,0.5254965,0.20000342,0.79423845,-0.5913395,0.3232261,-0.29158294,-0.002507663,72.787834,2020-06-23,-0.09375,0.46785032710411617,0.75,8.0,-0.2
0.2610947,0.39097294,-0.34153965,0.19601779,-0.31211752,-0.648901,-0.49846745,0.2381345,0.22381435,0.20845138,-0.5908427,-0.962194,1.1111221,-0.12240771,71.17542,2020-06-24,0.2875,0.5767829500154902,0.8,8.0,-0.3
